games,decisions,time,value_error,policy_error
5500,7543,770.7974848747253,3212.6627089714707,5427
5600,7684,787.3076374530792,3217.4477429600684,5356
5700,7825,804.203763961792,3183.2105478598896,5591
5800,7954,817.5426926612854,3181.3616888578945,5553
5900,8094,832.2775509357452,3171.1003367004396,5788
6000,8235,848.4131155014038,3196.4605072538398,5745
6100,8376,865.2409975528717,3182.7998083286475,5813
6200,8511,879.715621471405,3206.815099560277,5740
6300,8653,895.0243744850159,3204.6372576322306,5614
6400,8785,908.6897432804108,3192.8314503162665,5738
6500,8927,923.3828344345093,3216.364195459663,5551
6600,9072,938.984778881073,3223.504886127508,5532
6700,9211,953.6836266517639,3206.7843889929527,5753
6800,9346,968.2994434833527,3224.1984859778277,5706
6900,9485,979.4760677814484,3202.1681577573777,5817
7000,9611,988.205540895462,3214.2921835446864,5713
7100,9750,998.7934277057648,3211.409624110064,5825
7200,9902,1010.6345529556274,3244.431986445438,5742
7300,10034,1020.5498695373535,3231.0481387205864,5828
7400,10174,1030.9392154216766,3245.9378132573593,5750
7500,10310,1041.0546855926514,3272.5966529340412,5671
7600,10446,1050.8635020256042,3295.694122737814,5487
7700,10582,1060.7404284477234,3232.6153587573626,5791
7800,10711,1070.020899772644,3312.001063975399,5723
7900,10849,1080.4451732635498,3341.293607601441,5603
8000,10980,1090.107974767685,3304.8532409562895,5865
8100,11119,1100.3397073745728,3335.772081272552,5665
8200,11260,1115.2386631965637,3400.234645466632,5648
8300,11395,1130.1998291015625,3375.251773863913,5664
8400,11538,1145.7254266738892,3350.696894208255,5673
8500,11670,1159.0654356479645,3482.5952750243787,5506
8600,11815,1174.9263784885406,3419.3969974374545,5672
8700,11956,1189.8531138896942,3432.1679754383003,5624
8800,12086,1203.529217004776,3423.45528301952,5695
8900,12228,1218.803908109665,3430.6823707199164,5557
9000,12382,1235.9979162216187,3460.2887172295505,5754
9100,12526,1251.3145773410797,3465.0909877692766,5383
9200,12662,1265.6321535110474,3489.4476213385215,5284
9300,12811,1282.0126481056213,3427.376460368647,5495
9400,12940,1295.0917646884918,3462.923770334157,5349
9500,13084,1310.5358457565308,3485.2468619903866,5331
9600,13226,1325.8634259700775,3553.2602925649194,5219
9700,13363,1339.835510969162,3611.464153650807,4982
