hand_value,soft_hand,dealer_card,occurrence,hit_frequency,stay_frequency,expected_value
4,False,4,6.842753524018066e-05,1.0,0.0,-0.1580952074169569
5,False,4,6.842753524018066e-05,1.0,0.0,-0.16557706855421256
6,False,4,0.00020528260572054194,1.0,0.0,-0.18112200769279327
7,False,4,0.00020528260572054194,1.0,0.0,-0.1518000921037643
8,False,4,0.0004105652114410839,1.0,0.0,-0.07139641854464432
9,False,4,0.00047899274668126453,1.0,0.0,0.01661077318506424
10,False,4,0.0007527028876419871,1.0,0.0,0.12004829230012683
11,False,4,0.0008895579581223484,1.0,0.0,0.1691039490636951
12,False,4,0.0038319419734501163,0.35714285714285715,0.6428571428571429,-0.20922066728283045
13,False,4,0.004584644861092104,0.208955223880597,0.7910447761194029,-0.23816345070877212
14,False,4,0.005679485424934994,0.24096385542168675,0.7590361445783133,-0.2665987825068002
15,False,4,0.006705898453537704,0.030612244897959183,0.9693877551020408,-0.2883995250811013
16,False,4,0.008006021623101135,0.0,1.0,-0.2874627263354225
17,False,4,0.009169289722184207,0.0,1.0,-0.17562072999303935
18,False,4,0.010743123032708362,0.0,1.0,0.04751162533832159
19,False,4,0.011974818667031614,0.0,1.0,0.27009822607731876
20,False,4,0.013617079512795949,0.0,1.0,0.4890339113602323
21,False,4,0.014917202682359382,0.0,1.0,0.7024211382016553
4,True,4,0.0,,,
5,True,4,0.0,,,
6,True,4,0.0,,,
7,True,4,0.0,,,
8,True,4,0.0,,,
9,True,4,0.0,,,
10,True,4,0.0,,,
11,True,4,0.0,,,
12,True,4,6.842753524018066e-05,1.0,0.0,0.005602001787553642
13,True,4,0.0001368550704803613,1.0,0.0,-0.02539902161916994
14,True,4,0.00020528260572054194,1.0,0.0,-0.03854089067496478
15,True,4,0.0003421376762009032,1.0,0.0,-0.017006884272554833
16,True,4,0.00047899274668126453,1.0,0.0,0.058831903783602306
17,True,4,0.0006842753524018064,1.0,0.0,0.024744794586273787
18,True,4,0.0008895579581223484,0.38461538461538464,0.6153846153846154,0.1553387678934047
19,True,4,0.0012316956343232516,0.16666666666666666,0.8333333333333334,0.35044537547303256
20,True,4,0.001573833310524155,0.21739130434782608,0.782608695652174,0.5491260636392986
21,True,4,0.0020528260572054194,0.23333333333333334,0.7666666666666667,0.7347056556837139
4,False,5,6.842753524018066e-05,1.0,0.0,-0.11288239957615406
5,False,5,6.842753524018066e-05,1.0,0.0,-0.12582984788234103
6,False,5,0.00020528260572054194,1.0,0.0,-0.13513928485963558
7,False,5,0.00020528260572054194,1.0,0.0,-0.10245426982501632
8,False,5,0.0004105652114410839,1.0,0.0,-0.03445485632824968
9,False,5,0.00047899274668126453,1.0,0.0,0.04630008809830844
10,False,5,0.0007527028876419871,1.0,0.0,0.14626405912471788
11,False,5,0.0008895579581223484,1.0,0.0,0.19296956487859845
12,False,5,0.0038319419734501163,0.23214285714285715,0.7678571428571429,-0.16926468178584372
13,False,5,0.004584644861092104,0.208955223880597,0.7910447761194029,-0.19765997245036215
14,False,5,0.005679485424934994,0.2289156626506024,0.7710843373493976,-0.22766972654709047
