random_state,colsample_bytree,learning_rate,max_depth,alpha,n_estimators,y,time
0,0.5769230769230769,0.6762187060097318,31,3.292928580595613,5760,0.4616666666666666,50.83437967300415
0,0.4358974358974359,0.3115437143219925,69,13.505234406969787,2274,0.49,50.83437967300415
0,0.6410256410256411,0.8785449818449409,90,19.65163517376476,8065,0.4533333333333333,50.83437967300415
0,0.3846153846153846,0.0153642658578817,68,7.765739523858384,3368,0.52,50.83437967300415
0,0.0641025641025641,0.9140445765812132,10,0.976179566326718,4017,0.4666666666666666,50.83437967300415
0,0.935897435897436,0.6291822373073153,14,2.739727650808399,8966,0.485,50.83437967300415
0,0.0384615384615384,0.6847843709149856,33,0.1250427600527714,5755,0.465,44.74392747879028
0,0.1666666666666666,0.1643557571903989,89,18.142471626980907,8061,0.4433333333333333,50.70947527885437
0,0.9615384615384616,0.8979048047764044,93,15.909738747134616,8069,0.4966666666666667,54.01393103599548
0,0.1153846153846153,0.6370512800974517,34,8.242818132277385,5760,0.5183333333333333,38.50575399398804
0,0.7435897435897436,0.5817477334491596,16,0.5052524375973722,8973,0.47,55.83255934715271
0,0.9743589743589745,0.4640918344471547,90,14.65931683380072,8068,0.5016666666666666,43.86764144897461
0,0.8846153846153846,0.893581993105254,90,19.917510388292644,8054,0.4716666666666667,39.51555800437927
0,0.5641025641025641,0.907446603440892,85,11.945979351183595,8068,0.5,49.39254212379456
0,0.4615384615384615,0.5623866989064635,36,4.496631369645092,5762,0.48,36.10137891769409
0,0.6666666666666666,0.5667157940022065,11,4.583671768876063,8970,0.4966666666666667,49.1385612487793
0,0.6410256410256411,0.8876863310045273,86,3.8341759589976174,8067,0.4816666666666667,38.09286713600159
0,0.6282051282051282,0.4035612976037276,84,3.6224188029741855,8066,0.5133333333333333,50.05555987358093
0,0.2948717948717949,0.3839933924573581,97,17.52574322896972,8066,0.4599999999999999,41.31831526756287
0,0.6666666666666666,0.0334440293109973,32,13.488728639252193,5751,0.495,30.62966275215149
0,0.717948717948718,0.7539857405599492,10,9.17537854602527,8969,0.5033333333333333,48.72212839126587
0,0.8076923076923077,0.2093516226210208,6,5.8621590236773695,4016,0.5266666666666667,28.840027570724487
0,0.7435897435897436,0.1499813629280348,15,7.491560624064166,8973,0.535,50.47515344619751
0,0.3076923076923077,0.1869603611349105,36,11.684031023369702,5760,0.4833333333333334,26.24572229385376
0,0.2307692307692307,0.3908779630177953,18,16.28148853848756,8972,0.465,37.30898070335388
0,0.2307692307692307,0.5138293398674039,75,5.879854827352904,3373,0.4949999999999999,21.84635066986084
0,0.2051282051282051,0.7100038409908038,38,6.203390639613364,5768,0.5033333333333333,31.514201164245605
0,0.7435897435897436,0.3086442181906943,71,1.2794995243545082,3365,0.4783333333333333,22.338456630706787
0,0.0256410256410256,0.6376358526965019,68,7.03229725982335,3367,0.5133333333333333,18.07662081718445
0,0.7692307692307693,0.5806403520618517,30,6.824122305189071,5759,0.5066666666666667,32.259910106658936
0,0.8333333333333334,0.3854692499018088,19,0.5909038267564903,8970,0.4816666666666667,62.51503825187683
0,0.3205128205128205,0.2796549207329118,66,10.961626795837988,3368,0.49,23.19118571281433
0,0.8205128205128205,0.93464566149149,83,19.37343443363171,8062,0.4516666666666666,46.42183828353882
0,0.6666666666666666,0.087362012450975,14,17.865705467646798,8968,0.465,46.91553258895874
0,0.2051282051282051,0.87255449517675,66,16.516742050018912,2277,0.4916666666666667,18.57808899879456
0,0.5512820512820513,0.374535760060567,79,3.9027160419792817,3375,0.4866666666666666,23.389625310897827
0,0.141025641025641,0.7232082734810645,12,6.024245217036772,8962,0.5133333333333333,47.886934757232666
0,0.7435897435897436,0.842352597407411,11,3.120975163064723,8966,0.4633333333333333,44.53463697433472
0,0.6153846153846154,0.8170806211673826,77,4.774395372677427,3370,0.4766666666666666,16.52488684654236
0,0.9487179487179488,0.1347580558095401,70,18.84314530470777,2278,0.47,14.663975477218628
0,0.5128205128205128,0.4898442541572132,35,4.912187995023292,5769,0.4983333333333333,40.42865896224976
0,0.3461538461538461,0.8893433984832988,88,3.337334769893145,8070,0.4566666666666667,49.21164608001709
0,0.6666666666666666,0.7729242922715782,21,1.9061093079761384,8972,0.4866666666666666,47.21578526496887
0,0.9615384615384616,0.6077184348913423,68,17.8442535948593,2275,0.49,20.012449979782104
0,0.8076923076923077,0.8586600575151053,42,5.975935419393583,5770,0.5016666666666666,42.85681772232056
0,0.2051282051282051,0.4312299551991932,19,17.021981946419874,8973,0.4566666666666667,47.20375442504883
0,0.1282051282051282,0.953099701543957,82,1.349071945642446,8068,0.4483333333333333,39.20910954475403
0,0.8461538461538461,0.8182167261490165,75,5.182903317921575,3377,0.515,21.682066202163696
0,0.48717948717948717,0.8829742898569901,39,6.352502289689417,5772,0.515,33.434497594833374
0,0.8076923076923077,0.9733994713848372,77,1.1651612664131483,3375,0.4816666666666667,29.743531227111816
0,0.38461538461538464,0.9999539682743931,10,12.37082379311823,8964,0.49666666666666665,54.70013427734375
