,alpha,accuracy,time
0,0.0,0.4056,0.3873775005340576
1,0.30000000000000004,0.3776,0.760798454284668
2,0.6000000000000001,0.3736,1.1110808849334717
3,0.8999999999999999,0.3864,1.4738836288452148
4,1.2000000000000002,0.3616,1.9740262031555176
5,1.5,0.36839999999999995,2.3676509857177734
6,1.7999999999999998,0.36840000000000006,2.7578766345977783
7,2.0999999999999996,0.3732,3.124664306640625
8,2.4000000000000004,0.3716,3.4935786724090576
9,2.7,0.37239999999999995,3.9402916431427
10,0.0,0.41319999999999996,0.48308753967285156
11,0.020000000000000004,0.36920000000000003,0.9954400062561035
12,0.04000000000000001,0.3832000000000001,1.4187560081481934
13,0.06,0.37199999999999994,1.8448235988616943
14,0.08000000000000002,0.3908,2.2426552772521973
15,0.1,0.3864,2.659428358078003
16,0.12,0.36560000000000004,3.0822713375091553
17,0.13999999999999999,0.3708000000000001,3.4692976474761963
18,0.16000000000000003,0.39520000000000005,3.863980531692505
19,0.18000000000000002,0.3832,4.283885955810547
20,0.0,0.40720000000000006,0.4040846824645996
21,0.002,0.4244,0.7860996723175049
22,0.004,0.44559999999999994,1.288853406906128
23,0.006,0.43400000000000005,1.6802051067352295
24,0.008,0.4096,2.094531774520874
25,0.01,0.3904000000000001,2.4997830390930176
26,0.012,0.37400000000000005,2.8564326763153076
27,0.013999999999999999,0.37040000000000006,3.2897679805755615
28,0.016,0.3672000000000001,3.6654181480407715
29,0.018000000000000002,0.3628,4.037585973739624
30,0.002,0.43560000000000004,0.48593688011169434
31,0.0024000000000000002,0.4604,0.8510866165161133
32,0.0028,0.4476,1.2231574058532715
33,0.0031999999999999997,0.47,1.5951097011566162
34,0.0036,0.4479999999999999,1.9563941955566406
35,0.004,0.456,2.386934757232666
36,0.004399999999999999,0.46759999999999996,2.779883623123169
37,0.0048000000000000004,0.4556,3.1728405952453613
38,0.0052,0.46399999999999997,3.5786426067352295
39,0.005600000000000001,0.4508,3.9815869331359863
40,0.0029999999999999996,0.4795999999999999,0.3793206214904785
41,0.0030399999999999997,0.46,0.7415378093719482
42,0.00308,0.4596,1.0955867767333984
43,0.0031199999999999995,0.4608,1.4939818382263184
44,0.0031599999999999996,0.4496,1.9932737350463867
45,0.0031999999999999997,0.4636,2.4104812145233154
46,0.00324,0.45959999999999995,2.7841384410858154
47,0.00328,0.444,3.167149305343628
48,0.00332,0.4616,3.526376485824585
49,0.0033599999999999997,0.46240000000000003,3.8534746170043945
50,0.0029799999999999996,0.46440000000000003,0.32553768157958984
51,0.0029839999999999997,0.4488,0.7120227813720703
52,0.0029879999999999998,0.4584,1.0593485832214355
53,0.0029919999999999994,0.4456,1.4192419052124023
54,0.0029959999999999995,0.4548,1.7451438903808594
55,0.0029999999999999996,0.4696,2.0857396125793457
56,0.0030039999999999997,0.4672,2.4586563110351562
57,0.003008,0.4464,2.7846038341522217
58,0.0030119999999999995,0.45520000000000005,3.0920140743255615
59,0.0030159999999999996,0.4584,3.414306163787842
60,0.002998,0.456,0.3247048854827881
61,0.0029983999999999996,0.45679999999999993,0.6296072006225586
62,0.0029988,0.456,0.9207718372344971
63,0.0029991999999999996,0.4648,1.2289984226226807
64,0.0029996,0.45400000000000007,1.52494215965271
65,0.0029999999999999996,0.4512,1.8184328079223633
66,0.0030003999999999994,0.45840000000000003,2.1014187335968018
67,0.0030007999999999996,0.43800000000000006,2.4168078899383545
68,0.0030011999999999994,0.45319999999999994,2.752497673034668
69,0.0030015999999999997,0.4484,3.0637929439544678
