,epoch,train_accuracy,test_accuracy,train_loss,test_loss,seconds
0,1000,0.44565847516059875,0.4734092950820923,1.028015375137329,1.0102671384811401,99.1601996421814
1,2000,0.5177091360092163,0.5242165327072144,0.9363452196121216,0.9245531558990479,112.20843029022217
2,3000,0.5456320643424988,0.5546059012413025,0.8921383023262024,0.8821312785148621,125.1265344619751
3,4000,0.5637899041175842,0.5555555820465088,0.8778165578842163,0.8652248978614807,146.26135206222534
4,5000,0.5624175071716309,0.5698005557060242,0.8810980319976807,0.8825470209121704,135.37249994277954
5,6000,0.5946688055992126,0.588793933391571,0.8357736468315125,0.836944580078125,116.1333680152893
6,7000,0.5982053279876709,0.5826210975646973,0.8409557938575745,0.8555853962898254,137.77545499801636
7,8000,0.6236473917961121,0.6058879494667053,0.7893414497375488,0.7977821230888367,133.6549949645996
8,9000,0.6235946416854858,0.6073124408721924,0.7859516739845276,0.7994745969772339,131.21242761611938
9,10000,0.6382158994674683,0.6130104660987854,0.7641125917434692,0.7834137678146362,129.15620040893555
10,11000,0.6425442099571228,0.621082603931427,0.7584550380706787,0.7713238596916199,132.14251399040222
11,12000,0.6509897112846375,0.6172839403152466,0.7525501251220703,0.7718011140823364,137.48187851905823
12,13000,0.6491422653198242,0.6310541033744812,0.7429446578025818,0.7656077742576599,137.06893038749695
13,14000,0.6516231298446655,0.6367521286010742,0.7360445857048035,0.7576414942741394,132.90121364593506
14,15000,0.6703615784645081,0.6372269988059998,0.7136186361312866,0.7419000864028931,143.47848057746887
15,16000,0.6655054092407227,0.6452991366386414,0.7202660441398621,0.7461352348327637,178.81184458732605
16,17000,0.6962786912918091,0.6671414971351624,0.6627386808395386,0.6906070113182068,180.25460505485535
17,18000,0.6747954487800598,0.6671414971351624,0.6865280270576477,0.7155891060829163,174.33718395233154
18,19000,0.6975983381271362,0.6894586682319641,0.6488954424858093,0.6789214015007019,177.97597670555115
19,20000,0.689311146736145,0.6847103238105774,0.667119562625885,0.6952599883079529,167.3301374912262
20,21000,0.7174452543258667,0.7008547186851501,0.6186193823814392,0.6606722474098206,165.95659756660461
21,22000,0.7199788689613342,0.7013295292854309,0.606033444404602,0.651700496673584,175.1360137462616
22,23000,0.7338611483573914,0.7207977175712585,0.5745263695716858,0.6207496523857117,181.74417734146118
23,24000,0.7435734868049622,0.7283950448036194,0.5622502565383911,0.6162450313568115,177.0950984954834
24,25000,0.764898419380188,0.7383665442466736,0.5156810879707336,0.572674572467804,162.8802478313446
25,26000,0.8057007193565369,0.7735042572021484,0.4503903090953827,0.503631591796875,170.71856832504272
26,27000,0.7563472986221313,0.7374169230461121,0.5242785811424255,0.5771737098693848,166.27878665924072
27,28000,0.8222749829292297,0.7877492904663086,0.40285614132881165,0.4750710129737854,177.4559028148651
28,29000,0.8503035306930542,0.8095916509628296,0.35094279050827026,0.41717785596847534,168.8018183708191
29,30000,0.850145161151886,0.8148148059844971,0.3420860171318054,0.41829103231430054,173.79618072509766
30,31000,0.8660332560539246,0.8304843306541443,0.3122347593307495,0.3904065191745758,163.0229823589325
31,32000,0.8612826466560364,0.8276353478431702,0.317627876996994,0.3955070972442627,169.2259213924408
32,33000,0.8753232955932617,0.8418803215026855,0.28309622406959534,0.37083572149276733,166.5292341709137
33,34000,0.8990762829780579,0.8584995269775391,0.24068835377693176,0.3159577250480652,177.64338898658752
34,35000,0.9012404084205627,0.8613485097885132,0.23552022874355316,0.31468114256858826,144.52796387672424
35,36000,0.910108208656311,0.8717948794364929,0.21352536976337433,0.2952134311199188,113.15511298179626
36,37000,0.9141725897789001,0.8755935430526733,0.20543543994426727,0.2870427668094635,128.83745884895325
37,38000,0.9179731011390686,0.8784425258636475,0.19489790499210358,0.27848020195961,160.18038177490234
38,39000,0.9187648296356201,0.8803418874740601,0.18923623859882355,0.27323582768440247,157.5409483909607
39,40000,0.9223541617393494,0.8846153616905212,0.1799062043428421,0.26775437593460083,158.08364844322205
40,41000,0.9250989556312561,0.8846153616905212,0.1727670431137085,0.2637251019477844,120.79154109954834
41,42000,0.911797285079956,0.8741690516471863,0.19211480021476746,0.2868930697441101,158.5474944114685
42,43000,0.9272103309631348,0.8850902318954468,0.16431951522827148,0.25879523158073425,151.6204161643982
43,44000,0.9297967553138733,0.8903133869171143,0.15673710405826569,0.25441887974739075,145.91590213775635
44,45000,0.9271047711372375,0.8860399127006531,0.16174635291099548,0.2632702887058258,139.60070633888245
45,46000,0.876115083694458,0.845678985118866,0.2721881866455078,0.36025163531303406,136.48535203933716
46,47000,0.9328054785728455,0.8860399127006531,0.1462443768978119,0.2523568570613861,135.87128853797913
47,48000,0.9360253214836121,0.8960114121437073,0.14275453984737396,0.24993090331554413,142.7181875705719
48,49000,0.9359725713729858,0.8926875591278076,0.14043039083480835,0.25105762481689453,138.02576303482056
49,50000,0.935444712638855,0.8945869207382202,0.1401873081922531,0.25164321064949036,143.31700444221497
