,epoch,train_accuracy,test_accuracy,train_loss,test_loss,seconds
0,1000,0.5606347918510437,0.5572370886802673,0.8896653652191162,0.9039837718009949,106.09395337104797
1,2000,0.5864671468734741,0.584400475025177,0.854695200920105,0.873136043548584,146.66565012931824
2,3000,0.599879264831543,0.5944896936416626,0.8306192755699158,0.8505864143371582,128.452712059021
3,4000,0.607728123664856,0.6026387214660645,0.8127260804176331,0.833585798740387,130.3455047607422
4,5000,0.6165257692337036,0.610011637210846,0.7980253100395203,0.8194046020507812,124.8501091003418
5,6000,0.6243746876716614,0.6162204146385193,0.7855302095413208,0.8065518736839294,135.8859577178955
6,7000,0.6298516392707825,0.6201009154319763,0.7764622569084167,0.7969339489936829,157.50791478157043
7,8000,0.6370105147361755,0.6208769679069519,0.7656229734420776,0.7869689464569092,162.89218759536743
8,9000,0.6447300314903259,0.6329064965248108,0.7585236430168152,0.7800605893135071,160.68285417556763
9,10000,0.6498619914054871,0.6344586610794067,0.7514826059341431,0.7722325325012207,159.1673183441162
10,11000,0.6545627117156982,0.6309662461280823,0.7398965358734131,0.7630721926689148,133.7976143360138
11,12000,0.6525789499282837,0.6298021078109741,0.7376729249954224,0.761979877948761,125.7409303188324
12,13000,0.6603415608406067,0.651532769203186,0.7308169603347778,0.7543097138404846,133.6189205646515
13,14000,0.661505937576294,0.6495925784111023,0.7286299467086792,0.7528811097145081,123.0510745048523
14,15000,0.6676298379898071,0.6550252437591553,0.7179793119430542,0.7431421279907227,130.60815739631653
15,16000,0.6805675625801086,0.6558012962341309,0.6950695514678955,0.7230623960494995,128.27098727226257
16,17000,0.6836294531822205,0.6554132699966431,0.6886353492736816,0.7175872325897217,124.43868660926819
17,18000,0.688545823097229,0.6639503240585327,0.68138188123703,0.7138733863830566,128.5184998512268
18,19000,0.6957046985626221,0.6670547127723694,0.6732730865478516,0.7023154497146606,128.72401118278503
19,20000,0.7010954022407532,0.6752037405967712,0.6602973937988281,0.6907371282577515,119.36733222007751
20,21000,0.6894083023071289,0.6651144623756409,0.6712926626205444,0.7074545621871948,113.66634607315063
21,22000,0.6920390129089355,0.671711266040802,0.6664561033248901,0.7061268091201782,123.45782947540283
22,23000,0.7177850604057312,0.694218099117279,0.6315543055534363,0.6644357442855835,124.31449460983276
23,24000,0.7233914136886597,0.6973224878311157,0.6185113191604614,0.6554673910140991,121.27339911460876
24,25000,0.7166637778282166,0.6926658749580383,0.6233935952186584,0.6615923047065735,119.61887502670288
25,26000,0.7202001214027405,0.6980985403060913,0.6129849553108215,0.6564025282859802,121.65994358062744
26,27000,0.7437467575073242,0.7178890109062195,0.5843039751052856,0.6231148838996887,121.23483920097351
27,28000,0.7463343143463135,0.715948760509491,0.5774250626564026,0.6169147491455078,124.26699471473694
28,29000,0.7474555969238281,0.719829261302948,0.5738149285316467,0.6142061948776245,126.91203117370605
29,30000,0.7562100887298584,0.7279782891273499,0.5579611659049988,0.6005665063858032,125.44968461990356
30,31000,0.7617733478546143,0.7334109544754028,0.5443335771560669,0.5905091166496277,124.07397150993347
31,32000,0.7672502994537354,0.7330228686332703,0.5359449982643127,0.5834401249885559,122.90799975395203
32,33000,0.7586683034896851,0.7272021770477295,0.5429040193557739,0.5948432087898254,121.4279637336731
33,34000,0.7746248245239258,0.740007758140564,0.5181755423545837,0.569768488407135,121.3758487701416
34,35000,0.7643609046936035,0.730694591999054,0.5280722975730896,0.5849968791007996,124.0805389881134
35,36000,0.7772554755210876,0.7411718964576721,0.509606659412384,0.5642638802528381,126.83493447303772
36,37000,0.7872174978256226,0.7469926476478577,0.49461042881011963,0.5495964884757996,124.28234434127808
37,38000,0.7917026281356812,0.7528133392333984,0.4795032739639282,0.5373848676681519,121.92563605308533
38,39000,0.7821717858314514,0.7485448122024536,0.4895179867744446,0.5502007603645325,119.6290020942688
39,40000,0.8017940521240234,0.7644547820091248,0.4611393213272095,0.5203097462654114,119.2878851890564
40,41000,0.7936432361602783,0.7563057541847229,0.47267675399780273,0.532672107219696,118.28598213195801
41,42000,0.8017078042030334,0.7671711444854736,0.4574506878852844,0.516360342502594,122.52666711807251
42,43000,0.8067966103553772,0.7691113948822021,0.44732794165611267,0.5096058249473572,122.68799710273743
43,44000,0.8144298791885376,0.7792006134986877,0.430438369512558,0.49344611167907715,118.170818567276
44,45000,0.8004140257835388,0.7617384791374207,0.44641584157943726,0.5142185091972351,120.34261107444763
45,46000,0.8220199942588806,0.78812575340271,0.4136555790901184,0.4776539206504822,119.95636892318726
46,47000,0.8270657062530518,0.786961555480957,0.4057506024837494,0.46944624185562134,123.39465308189392
47,48000,0.8186130523681641,0.7760962247848511,0.41341540217399597,0.47909945249557495,121.41918849945068
48,49000,0.829653263092041,0.7892898917198181,0.39482972025871277,0.4617384672164917,128.78008818626404
49,50000,0.8356477618217468,0.7993791103363037,0.3853610157966614,0.4500264525413513,127.26733708381653
