time,attempt,steps,value,string
201.74697184562683,1,309,93.0,101001010101011010101010101010101010101010101101010101010101010101010101010010101010110101010100101
212.03124952316284,2,332,96.0,101010101010101010101010101010101001010101010101010101010101010100100101010101010101010101010101010
284.9413995742798,3,432,97.0,101010101010101010101010101010101010101010101010100101010101010101101010101010101010101010101010101
322.72772121429443,4,410,94.0,1010101010101010101010110101010110101010101010101101010101010110101010101010101010101011010101010101
295.01308608055115,5,447,96.0,101010101010101010101010100101010101010101010110101010101010101010101011010101010101010101010101010
321.18638491630554,6,397,96.0,1010101010101010101010101010101010101010101001010101010101001010101010101010101001010101010101010101
286.1013071537018,7,349,96.0,1010101010101001010101010100101010101010101010101010101010101010101010101010101010010101010101010101
332.7731328010559,8,409,95.0,101010101010101001010101010101001010101010101010101010101010010101010101001010101010101010101010101
342.4110949039459,9,411,95.0,101010101010101011010101010101010101010101010110101010101010101001010101011010101010101010101010101
330.1211695671081,10,405,94.0,101010101010101010101010110101010101010010101010101010010101010101010110101010101011010101010101010
303.019243478775,11,390,98.0,1010101010101010101010101010101010101010101010101010101010101010101010100101010101010101010101010101
232.81447005271912,12,277,94.0,101010101010101101010110101010101010100101010101010101010110101010101010101010101001010101010101010
337.3248109817505,13,430,97.0,101010101010101010110101010101010101010101010101010101010101010110101010101010101010101010101010101
294.69664669036865,14,340,97.0,1010101010101010101010101010101101010101010101010101010101010101010101010101001010101010101010101010
344.63039922714233,15,379,97.0,101010101010101010101010101010101010101010101010101010101010101011010101010101010101010101010110101
343.44001173973083,16,346,96.0,1010101010101010101010110101010101010101010101010101010101011010101010101010100101010101010101010101
299.09220910072327,17,320,93.0,1010101010101010100101011010101010110101010101010110101010101010101010010101011010101010101010101010
460.23060369491577,18,486,97.0,101010101010101010101010101010101010101001010101010101010101010101010100101010101010101010101010101
303.93751215934753,19,346,96.0,101010101010101010101010101010101010101010101010101010010101010110101010101011010101010101010101010
362.1966640949249,20,409,97.0,1010101010101010101010101010101010101010101010101010101010101010101011010101010101011010101010101010
428.61631751060486,21,480,95.0,101010101010101010101010010101010101010101101010101010101001010101010101010110101010101010101010101
379.9137604236603,22,441,95.0,101010101010101010100101010101010010101010101001010101010101010101010101010101010100101010101010101
334.5445935726166,23,382,95.0,101010101010101010101010010101010010101010101010100101010101010101010101010101010101010101011010101
447.49633169174194,24,506,97.0,1010101010101011010101010101010101010101010101010101010101010101010101010101011010101010101010101010
356.7838616371155,25,393,97.0,101010100101010101010101010101010101010101010101010101011010101010101010101010101010101010101010101
269.0726385116577,26,289,93.0,1010101010101101010101010101010101010101011010010101010100101010010101010101010101010101010100101010
381.83402013778687,27,431,95.0,1010101010101001010101010101011010100101010101001010101010101010101010101010101010101010101010101010
339.18886852264404,28,387,93.0,1010100101001010101011010101010101010101010010101010101011010101010010101010101010101010101010101010
361.07896280288696,29,414,96.0,101010101010101010101010101010101010110101010101010010101010101010101010101010101010110101010101010
338.4800772666931,30,387,96.0,1010101010110101010101101010101010101010101010101010101010101010101010101010100101010101010101010101
264.8653371334076,31,302,94.0,1010101010110101010101101010101010101010101011010101010101011010101010010101010101010101010101010101
279.00340700149536,32,330,95.0,1010101010101010101010100101010100101010101010101001010101010101010101001010101010101010101010101010
420.6293647289276,33,522,96.0,1010101101010101010101010101010101010010101010101010101010101010101010101010101010100101010101010101
362.79616594314575,34,448,96.0,101010101010100101010101010101010101010101010101101010101010101010101010101010101010101010101010010
290.17766189575195,35,366,96.0,101010101010110101010101010101010101010110101010101010101010101101010101010101010101010101010101010
321.4670705795288,36,369,95.0,1010101010101010101010101011010101010101010101010010101010101010110101010101010101010101010101101010
287.6016845703125,37,358,96.0,101010101010101010101010101010101010101010101010110101010101010101101010101010101011010101010101010
307.6993052959442,38,382,94.0,1010101010101011010101010101010101010100101010101010100101010101010110101010101010101010101101010101
332.4373207092285,39,405,95.0,1010101010101101010010101010101011010101011010101010101010101010101010101010101010101010101010101010
305.4212794303894,40,375,95.0,101010101010101010101011010101010101010101010101010101101010101010101010101010101101010101001010101
429.6069619655609,41,526,95.0,101010101010110101010101010101010101010101010110101001010101010100101010101010101010101010101010101
7522.702974319458,42,401,94.0,101010101001010101010101011010101010100101010101010101010101010100101010101010101010101010010101010
237.9975025653839,43,410,97.0,1010101010101010101010101010101010101010101010101010101010101001010101010101010101010101011010101010
218.71394157409668,44,401,95.0,101010101101010101010101010101010101011010101101010101010101011010101010101010101010101010101010101
257.3829140663147,45,467,98.0,1010101010101010101010101010101010101010101010101001010101010101010101010101010101010101010101010101
230.60786962509155,46,389,95.0,1010101010101010101010101101010101010101001010101001010110101010101010101010101010101010101010101010
286.63784098625183,47,469,95.0,101010101010010101010101010101101010101010100101010101010101010101010101010101010101010010101010101
200.9088258743286,48,361,95.0,1010101010101010101010101001010101011010101010101010010101010101010101010101010101010101010101101010
193.3771197795868,49,352,96.0,101010101011010101010010100101010101010101010101010101010101010101010101010101010101010101010101010
188.5511631965637,50,351,95.0,101010101010101101010101010101010101010101010101010101001010101010101010101010101010101010010100101
205.7447409629821,51,369,96.0,101010101101010101010101010101010010101010101010101011010101010101010101010101010101010101010101010
271.1411147117615,52,503,96.0,1010101010101010101010101010101010101101010101101010101010101010101010101010100101010101010101010101
199.2453715801239,53,367,95.0,101010100101010101001010101010101010101010100101010101011010101010101010101010101010101010101010101
209.2639856338501,54,408,94.0,101010101010101010101010101010101001010100101010101010100101011010101010101010100101010101010101010
216.9508113861084,55,404,96.0,101010101010101010101010101010101010101010010101101010101010101010101010101010101010010101010101010
190.4623646736145,56,335,95.0,101010101010101001010101010101010110101101010101010101010101010100101010101010101010101010101010101
224.96807193756104,57,413,96.0,1010101010101010101010110101010101010010101010101010101010101010101010101010101010100101010101010101
253.38279104232788,58,409,95.0,101010101010101001010101010010101010101010101010101010101010100101010101010101001010101010101010101
147.56656980514526,59,276,92.0,101010101010101010101011010101010101010100101010101110101010101001010100101010101010101010101010010
228.1373951435089,60,415,96.0,1010101010101010101001010101010010101010101010101010101010101010101010101010101001010101010101010101
242.90934944152832,61,435,98.0,1010101010101010101010101010101010101001010101010101010101010101010101010101010101010101010101010101
