iteration,time,train_accuracy,test_accuracy
1.0,4.439724445343018,0.3811111152172088,0.3400000035762787
2.0,7.791122913360596,0.3811111152172088,0.3400000035762787
3.0,11.06142807006836,0.3811111152172088,0.3400000035762787
4.0,14.507973432540894,0.3811111152172088,0.3400000035762787
5.0,17.726961851119995,0.3811111152172088,0.3400000035762787
6.0,21.14062714576721,0.3811111152172088,0.3400000035762787
7.0,24.394455909729,0.3811111152172088,0.3400000035762787
8.0,27.837450981140133,0.3811111152172088,0.3400000035762787
9.0,31.10824871063232,0.3811111152172088,0.3400000035762787
10.0,34.42413663864136,0.3811111152172088,0.3400000035762787
11.0,37.74286699295044,0.3811111152172088,0.3400000035762787
12.0,41.03327679634094,0.3811111152172088,0.3400000035762787
13.0,44.89933562278748,0.3811111152172088,0.3400000035762787
14.0,49.1241331100464,0.3811111152172088,0.3400000035762787
15.0,53.03194594383241,0.3811111152172088,0.3400000035762787
16.0,57.00316452980043,0.3922222256660461,0.3700000047683716
17.0,60.81851792335512,0.3922222256660461,0.3700000047683716
18.0,64.61507582664491,0.3922222256660461,0.3700000047683716
19.0,69.12005949020387,0.3922222256660461,0.3700000047683716
20.0,73.01636695861818,0.3922222256660461,0.3700000047683716
21.0,76.90445375442506,0.3922222256660461,0.3700000047683716
22.0,81.39002108573915,0.3933333456516266,0.3700000047683716
23.0,85.23904037475587,0.3933333456516266,0.3700000047683716
24.0,89.07804465293886,0.3933333456516266,0.3700000047683716
25.0,92.94964623451234,0.3933333456516266,0.3700000047683716
26.0,96.81069707870483,0.3933333456516266,0.3700000047683716
27.0,100.67804980278017,0.3933333456516266,0.3700000047683716
28.0,104.54680919647218,0.3933333456516266,0.3700000047683716
29.0,108.4483380317688,0.3933333456516266,0.3700000047683716
30.0,113.4742465019226,0.3933333456516266,0.3700000047683716
31.0,117.3299536705017,0.3933333456516266,0.3700000047683716
32.0,121.164165019989,0.3933333456516266,0.3700000047683716
33.0,125.1610960960388,0.3933333456516266,0.3700000047683716
34.0,129.04495477676392,0.3933333456516266,0.3700000047683716
35.0,132.89857411384585,0.3933333456516266,0.3700000047683716
36.0,136.7944486141205,0.3933333456516266,0.3700000047683716
37.0,140.71839976310733,0.3933333456516266,0.3700000047683716
38.0,144.6136844158173,0.3933333456516266,0.3700000047683716
39.0,148.49066996574405,0.3944444358348846,0.3799999952316284
40.0,152.4065766334534,0.3944444358348846,0.3799999952316284
41.0,156.36269783973697,0.3944444358348846,0.3799999952316284
42.0,160.24623346328738,0.3944444358348846,0.3799999952316284
43.0,164.11992669105533,0.3944444358348846,0.3799999952316284
44.0,168.0120990276337,0.3944444358348846,0.3799999952316284
45.0,173.13834285736087,0.3944444358348846,0.3799999952316284
46.0,178.75969004631045,0.3944444358348846,0.3799999952316284
47.0,183.8664081096649,0.3944444358348846,0.3799999952316284
48.0,188.6240315437317,0.3944444358348846,0.3799999952316284
49.0,193.0550966262817,0.3944444358348846,0.3799999952316284
50.0,197.4391725063324,0.3944444358348846,0.3799999952316284
