weights,accuracy,time
"[1.594404900000001, 1.4641000000000006, 1.1979000000000004, 1.0781100000000003, 1.2100000000000002, 0.9, 1.4641000000000006, 0.9, 0.9, 1.0, 1.0890000000000002, 0.9, 1.1, 1.2100000000000002, 1.1, 1.0, 1.0, 1.1, 1.0, 1.1, 1.0, 0.9, 1.0, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.1, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 1.0]",0.5,1.972378253936768
"[1.4349644100000007, 1.6105100000000008, 1.1979000000000004, 1.0781100000000003, 1.3310000000000004, 0.9, 1.4641000000000006, 0.9, 0.9, 1.0, 1.0890000000000002, 0.9, 1.1, 1.2100000000000002, 1.2100000000000002, 1.0, 1.0, 1.1, 1.0, 1.1, 1.0, 0.9, 1.0, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.1, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 1.0]",0.54,2.2054617404937744
"[1.4349644100000007, 1.771561000000001, 1.1979000000000004, 1.0781100000000003, 1.3310000000000004, 0.9, 1.4641000000000006, 0.9, 0.9, 1.0, 1.0890000000000002, 0.9, 1.1, 1.2100000000000002, 1.2100000000000002, 1.0, 1.0, 1.1, 1.0, 1.1, 1.0, 0.9900000000000001, 1.0, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.2100000000000002, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9]",0.64,1.9528234004974363
"[1.5784608510000009, 1.9487171000000014, 1.1979000000000004, 1.0781100000000003, 1.3310000000000004, 0.9900000000000001, 1.4641000000000006, 0.9, 0.9, 1.0, 1.0890000000000002, 0.9900000000000001, 1.1, 1.2100000000000002, 1.2100000000000002, 1.0, 1.0, 1.1, 1.0, 1.1, 1.0, 0.9900000000000001, 1.0, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.3310000000000004, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9]",0.56,2.218223571777344
"[1.7363069361000012, 1.9487171000000014, 1.3176900000000005, 1.0781100000000003, 1.3310000000000004, 0.9900000000000001, 1.4641000000000006, 0.9, 0.9, 1.0, 1.0890000000000002, 0.9900000000000001, 1.1, 1.2100000000000002, 1.3310000000000004, 1.0, 1.0, 1.1, 1.0, 1.1, 1.0, 0.9900000000000001, 1.0, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.3310000000000004, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9]",0.46,2.215451002120972
"[1.7363069361000012, 1.9487171000000014, 1.3176900000000005, 1.1859210000000004, 1.1979000000000004, 0.9900000000000001, 1.4641000000000006, 0.9, 0.9, 1.0, 1.0890000000000002, 0.9900000000000001, 1.1, 1.2100000000000002, 1.3310000000000004, 1.0, 1.0, 1.1, 1.0, 1.1, 1.0, 0.9900000000000001, 1.0, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.3310000000000004, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9]",0.48,2.1547091007232666
"[1.7363069361000012, 1.9487171000000014, 1.4494590000000007, 1.1859210000000004, 1.3176900000000005, 0.9900000000000001, 1.4641000000000006, 0.9, 0.9, 1.0, 1.0890000000000002, 0.9900000000000001, 1.2100000000000002, 1.2100000000000002, 1.3310000000000004, 1.0, 1.0, 1.1, 1.0, 1.1, 1.0, 0.9900000000000001, 1.0, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.3310000000000004, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9]",0.58,2.586796283721924
"[1.5626762424900011, 1.7538453900000013, 1.4494590000000007, 1.1859210000000004, 1.3176900000000005, 1.0890000000000002, 1.6105100000000008, 0.9, 0.81, 1.0, 1.0890000000000002, 0.9900000000000001, 1.2100000000000002, 1.2100000000000002, 1.3310000000000004, 1.0, 1.0, 1.1, 1.0, 1.1, 1.0, 0.9900000000000001, 1.0, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.3310000000000004, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.48,1.866617202758789
"[1.7189438667390013, 1.9292299290000017, 1.4494590000000007, 1.1859210000000004, 1.4494590000000007, 1.0890000000000002, 1.6105100000000008, 0.9, 0.81, 1.0, 1.0890000000000002, 0.9900000000000001, 1.2100000000000002, 1.2100000000000002, 1.3310000000000004, 1.0, 1.0, 1.1, 1.0, 1.1, 1.0, 0.9900000000000001, 1.0, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.3310000000000004, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.53,2.1012492179870605
"[1.7189438667390013, 1.9292299290000017, 1.4494590000000007, 1.1859210000000004, 1.4494590000000007, 1.0890000000000002, 1.4494590000000007, 0.9, 0.81, 1.0, 1.0890000000000002, 0.8910000000000001, 1.2100000000000002, 1.2100000000000002, 1.3310000000000004, 1.0, 1.0, 1.1, 1.0, 1.1, 1.1, 0.9900000000000001, 1.0, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.3310000000000004, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 0.9900000000000001]",0.45,2.2664737701416016
