weights,accuracy,time
"[0.9605960100000004, 0.81, 1.0890000000000002, 1.1979000000000004, 0.8019000000000002, 1.0781100000000003, 1.1, 1, 1, 1.0890000000000002, 0.8019000000000002, 1.1, 0.9, 0.9, 1.1, 1, 1.1, 1.2100000000000002, 0.9, 0.81, 1, 1, 1.1, 0.9, 1.1, 1.1, 1, 1.1, 1, 1, 1.1, 1, 1, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9116,27.010705947875977
"[1.0566556110000005, 0.8910000000000001, 1.1979000000000004, 1.1979000000000004, 0.8019000000000002, 1.1859210000000004, 1.1, 1, 1, 1.0890000000000002, 0.8019000000000002, 1.1, 0.9, 0.9, 1.1, 1, 1.1, 1.2100000000000002, 0.9, 0.81, 1, 1.1, 1.1, 0.9, 1.1, 1.1, 1, 1.1, 1, 1, 1.1, 1, 1, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9152,36.143457889556885
"[1.1623211721000006, 0.8910000000000001, 1.0781100000000003, 1.1979000000000004, 0.8019000000000002, 1.1859210000000004, 1.1, 1, 1, 0.9801000000000002, 0.8019000000000002, 1.1, 0.9, 0.9, 1.1, 1, 1.1, 1.2100000000000002, 0.9900000000000001, 0.81, 1, 1.1, 1.1, 0.9, 1.1, 1.1, 1, 1.1, 1, 1, 1.1, 1, 1, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.912,36.99666690826416
"[1.278553289310001, 0.9801000000000002, 1.1859210000000004, 1.1979000000000004, 0.7217100000000002, 1.1859210000000004, 1.1, 1, 1, 0.9801000000000002, 0.8019000000000002, 1.1, 0.9, 0.9, 1.2100000000000002, 1, 1.1, 1.2100000000000002, 0.9900000000000001, 0.81, 1, 1.1, 1.1, 0.9, 1.1, 1.2100000000000002, 1, 1.1, 1, 1, 1.1, 1, 1, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9124,34.262047290802
"[1.4064086182410012, 0.9801000000000002, 1.1859210000000004, 1.1979000000000004, 0.7217100000000002, 1.1859210000000004, 1.1, 1, 1, 0.9801000000000002, 0.8019000000000002, 1.1, 0.9, 0.9, 1.2100000000000002, 1, 1.1, 1.2100000000000002, 0.9900000000000001, 0.81, 1, 1.1, 1.1, 0.9, 1.1, 1.2100000000000002, 1, 1.1, 1, 1, 1.1, 1, 1, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.91,30.3638117313385
"[1.265767756416901, 0.9801000000000002, 1.1859210000000004, 1.1979000000000004, 0.6495390000000002, 1.1859210000000004, 1.1, 1, 1, 0.9801000000000002, 0.8019000000000002, 1.2100000000000002, 0.9, 0.9, 1.2100000000000002, 1, 1.1, 1.2100000000000002, 0.9900000000000001, 0.81, 1, 1.1, 1.1, 0.9, 1.1, 1.2100000000000002, 1, 1.1, 1, 1, 1.1, 1, 1, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9092,28.78097176551819
"[1.139190980775211, 0.8820900000000002, 1.1859210000000004, 1.1979000000000004, 0.5845851000000002, 1.1859210000000004, 1.1, 1, 1, 0.9801000000000002, 0.8019000000000002, 1.2100000000000002, 0.9, 0.9, 1.2100000000000002, 1, 1.1, 1.2100000000000002, 0.9900000000000001, 0.81, 1, 1.1, 1.1, 0.9, 1.1, 1.3310000000000004, 1, 1.1, 1, 1, 1.1, 1, 1.1, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9144,28.048474550247192
"[1.139190980775211, 0.8820900000000002, 1.1859210000000004, 1.1979000000000004, 0.5261265900000002, 1.1859210000000004, 1.2100000000000002, 1, 1, 0.9801000000000002, 0.8019000000000002, 1.2100000000000002, 0.9, 0.9, 1.2100000000000002, 1, 1.1, 1.2100000000000002, 0.9900000000000001, 0.81, 1, 1.1, 1.1, 0.9, 1.1, 1.3310000000000004, 1, 1.1, 1, 1, 1.1, 1, 1.1, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9088,34.391966819763184
"[1.0252718826976899, 0.8820900000000002, 1.1859210000000004, 1.1979000000000004, 0.5261265900000002, 1.3045131000000005, 1.2100000000000002, 0.9, 1, 0.9801000000000002, 0.7217100000000002, 1.2100000000000002, 0.9, 0.9, 1.2100000000000002, 1, 1.1, 1.2100000000000002, 0.9900000000000001, 0.81, 1, 1.1, 1.1, 0.9, 1.1, 1.4641000000000006, 1, 1.1, 1, 1, 1.1, 1, 1.1, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9076,33.59634709358215
"[0.922744694427921, 0.8820900000000002, 1.1859210000000004, 1.1979000000000004, 0.47351393100000017, 1.3045131000000005, 1.2100000000000002, 0.9, 1, 0.9801000000000002, 0.7217100000000002, 1.2100000000000002, 0.9, 0.9, 1.2100000000000002, 1, 1.1, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1, 1.1, 1.1, 0.9, 1.1, 1.4641000000000006, 1, 1.1, 1, 1, 1.1, 1, 1.1, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.908,33.750927209854126
"[0.8304702249851289, 0.8820900000000002, 1.1859210000000004, 1.3176900000000005, 0.47351393100000017, 1.3045131000000005, 1.2100000000000002, 0.9, 1, 0.9801000000000002, 0.7217100000000002, 1.2100000000000002, 0.9, 0.9, 1.2100000000000002, 1, 1.1, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1, 1.1, 1.1, 0.9, 1.1, 1.4641000000000006, 1, 1.1, 1, 1, 1.1, 1, 1.1, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.912,29.352070331573486
"[0.8304702249851289, 0.8820900000000002, 1.3045131000000005, 1.4494590000000007, 0.42616253790000014, 1.1740617900000005, 1.2100000000000002, 0.9, 1, 1.0781100000000003, 0.7217100000000002, 1.2100000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.1, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1, 1.1, 1.1, 0.9, 1.1, 1.4641000000000006, 1, 1.1, 1, 1, 1.1, 1, 1.2100000000000002, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9088,28.789159059524536
"[0.8304702249851289, 0.9702990000000002, 1.3045131000000005, 1.4494590000000007, 0.42616253790000014, 1.0566556110000005, 1.3310000000000004, 0.9, 1, 1.0781100000000003, 0.7217100000000002, 1.2100000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.1, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 1.1, 0.9, 1.1, 1.4641000000000006, 1, 1.2100000000000002, 1.1, 1, 1.1, 1, 1.2100000000000002, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9116,30.68032598495484
"[0.9135172474836418, 1.0673289000000004, 1.3045131000000005, 1.594404900000001, 0.42616253790000014, 1.0566556110000005, 1.3310000000000004, 0.9, 1, 1.0781100000000003, 0.7217100000000002, 1.2100000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.1, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 1.1, 0.9, 1.1, 1.4641000000000006, 1, 1.2100000000000002, 1.1, 1, 1.1, 1, 1.2100000000000002, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9148,38.06523513793945
"[0.9135172474836418, 1.0673289000000004, 1.1740617900000005, 1.594404900000001, 0.38354628411000014, 1.0566556110000005, 1.3310000000000004, 0.9, 1, 1.0781100000000003, 0.7217100000000002, 1.2100000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.1, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 1.1, 0.9, 1.1, 1.4641000000000006, 1, 1.2100000000000002, 1.1, 1, 1.1, 1, 1.2100000000000002, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.906,29.35081624984741
"[1.004868972232006, 1.0673289000000004, 1.1740617900000005, 1.594404900000001, 0.38354628411000014, 1.0566556110000005, 1.3310000000000004, 0.9, 1, 1.0781100000000003, 0.7217100000000002, 1.2100000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.1, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 1.1, 0.9, 1.1, 1.4641000000000006, 1, 1.2100000000000002, 1.1, 1, 1.1, 1, 1.2100000000000002, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9056,27.263954401016235
"[1.004868972232006, 1.0673289000000004, 1.1740617900000005, 1.594404900000001, 0.38354628411000014, 1.0566556110000005, 1.3310000000000004, 0.9, 1, 1.0781100000000003, 0.7217100000000002, 1.2100000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.1, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 1.1, 0.9, 1.1, 1.4641000000000006, 1, 1.2100000000000002, 1.1, 1.1, 1.1, 1, 1.3310000000000004, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9112,26.54266142845153
"[0.9043820750088055, 1.1740617900000005, 1.1740617900000005, 1.594404900000001, 0.38354628411000014, 1.0566556110000005, 1.3310000000000004, 0.9, 1, 1.0781100000000003, 0.7217100000000002, 1.2100000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.1, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 1.1, 0.9, 1.1, 1.4641000000000006, 1, 1.2100000000000002, 1.1, 1.1, 1.1, 1, 1.3310000000000004, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9084,32.50040078163147
"[0.9043820750088055, 1.2914679690000006, 1.1740617900000005, 1.594404900000001, 0.38354628411000014, 1.0566556110000005, 1.3310000000000004, 0.9, 1, 1.0781100000000003, 0.7217100000000002, 1.2100000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.1, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 1.1, 0.9, 1.1, 1.4641000000000006, 1, 1.2100000000000002, 1.1, 1.1, 1.1, 1, 1.3310000000000004, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9056,34.54599475860596
"[0.813943867507925, 1.2914679690000006, 1.2914679690000006, 1.594404900000001, 0.38354628411000014, 1.0566556110000005, 1.3310000000000004, 0.9, 1, 1.0781100000000003, 0.7217100000000002, 1.2100000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.1, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 1.1, 0.9, 1.1, 1.4641000000000006, 1, 1.2100000000000002, 1.1, 1.1, 1.1, 1, 1.3310000000000004, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.908,29.773828268051147
"[0.813943867507925, 1.2914679690000006, 1.2914679690000006, 1.594404900000001, 0.38354628411000014, 1.0566556110000005, 1.3310000000000004, 0.9, 1, 1.0781100000000003, 0.7217100000000002, 1.2100000000000002, 0.9, 0.81, 1.2100000000000002, 0.9, 1.2100000000000002, 1.2100000000000002, 0.9900000000000001, 0.8910000000000001, 1.1, 1.1, 1.1, 0.9, 1.1, 1.4641000000000006, 1, 1.2100000000000002, 1.1, 1.1, 1.1, 1, 1.3310000000000004, 1, 0.9, 1, 0.9, 0.81, 1, 1, 1, 0.9]",0.9116,27.4504234790802
