c,gamma,accuracy,time
1.0,0.01,0.509,3183.1989300251007
1.291549665014884,0.007742636826811269,0.512,66.59984850883484
1.6681005372000592,0.01,0.512,77.61701512336731
1.291549665014884,0.007742636826811269,0.512,72.19098496437073
1.6681005372000592,0.01,0.512,69.10372471809387
1.291549665014884,0.007742636826811269,0.512,81.67223072052002
1.6681005372000592,0.01,0.512,66.84493517875671
1.291549665014884,0.007742636826811269,0.512,78.35436725616455
1.6681005372000592,0.01,0.512,75.83214163780212
1.291549665014884,0.007742636826811269,0.512,73.9800283908844
