parameter,value,score,string_length
min_temp,1.3465613527463163e-20,5.986325000648727e+141,100
min_temp,4.988516925113831e-19,1.8220251222155056e+85,100
min_temp,1.84806292423242e-17,7.107777902976626e+54,100
min_temp,6.846396681002624e-16,1.4169472467030543e+83,100
min_temp,2.53633936913226e-14,7.472870703940694e+122,100
min_temp,9.396208976994537e-13,6.508241592544629e+257,100
min_temp,3.4809514930787153e-11,2.5108732929187346e+153,100
min_temp,1.289565113636146e-09,1.750416353312286e+82,100
min_temp,4.777366721753957e-08,5.272147953829094e+68,100
max_attempts,24.0,2.511098501162064e+153,100
max_attempts,12.0,2.510799382715714e+153,100
max_attempts,15.0,4.515916930152494e+68,100
max_attempts,19.0,9.277843319832191e+196,100
max_attempts,23.0,1.478525621344494e+192,100
max_attempts,26.0,7.472956445376432e+122,100
max_attempts,30.0,1.8455674424225586e+52,100
max_attempts,34.0,2.8103128705504336e+90,100
max_attempts,37.0,1.0053399267738836e+64,100
max_attempts,41.0,4.968174677487857e+118,100
max_attempts,44.0,1.8309979510602718e+84,100
max_attempts,48.0,5.9868833366486195e+141,100
decay,0.96726318072575,1.055485391105016e+86,100
decay,0.9355980607876948,6.50837177789579e+257,100
decay,0.9398542208922656,1.191540806888945e+29,100
decay,0.9441297428356378,2.43585304243326e+65,100
decay,0.9484247146973932,1.4580468870264996e+142,100
decay,0.9527392249577988,7.472833079608204e+122,100
decay,0.9570733624996308,7.472961148417994e+122,100
decay,0.961427216610005,6.508361522560482e+257,100
decay,0.9658008769822154,1.8750995983340247e+38,100
decay,0.9701944337175838,2.5109731806307522e+153,100
decay,0.9746079773273142,4.967856537060354e+118,100
decay,0.979041598734358,2.9831382338592094e+217,100
min_temp,1.84806292423242e-17,inf,100
min_temp,3.415336571922482e-34,1.750463540772613e+82,100
min_temp,6.534988991444244e-32,1.4785052776185223e+192,100
min_temp,1.2504208653807244e-29,8.062602764817572e+40,100
min_temp,2.392586035916075e-27,2.607097972907864e+74,100
min_temp,4.578032962939759e-25,2.532118810170865e+37,100
min_temp,8.759720860670477e-23,1.2530458332920303e+52,100
min_temp,1.6761065326098482e-20,9.679638509436822e+73,100
min_temp,3.2071034606488465e-18,3.4855536890910754e+65,100
min_temp,6.136550635173733e-16,1.5246901114145997e+31,100
min_temp,1.1741826903966642e-13,1.1840408531357635e+44,100
min_temp,2.2467100369458725e-11,6.508271893104176e+257,100
max_attempts,30.0,2.9832019012965965e+217,100
max_attempts,15.0,7.473172197408061e+122,100
max_attempts,19.0,3.3290775530100033e+143,100
max_attempts,24.0,8.813356074897342e+82,100
max_attempts,29.0,4.29126537990767e+117,100
max_attempts,33.0,5.9859732115808604e+141,100
max_attempts,38.0,2.1738469231925213e+133,100
max_attempts,42.0,5.272419937007199e+68,100
max_attempts,46.0,7.972115284746648e+280,100
max_attempts,51.0,2.510943809285901e+153,100
max_attempts,55.0,1.461006669213604e+45,100
max_attempts,60.0,1.750544332815633e+82,100
decay,0.9398542208922657,1.3810375951681434e+72,100
decay,0.8833259565290077,9.679917466391746e+73,100
decay,0.8908294399361015,2.3159125318059706e+95,100
decay,0.8983966622867012,6.002960494678106e+103,100
decay,0.9060281650163909,1.83106248834886e+84,100
decay,0.913724494160022,1.8220649519181245e+85,100
decay,0.9214862003907841,1.8221516347289387e+85,100
decay,0.9293138390596033,2.0388300755312666e+64,100
