parameter,value,score,string_length
mutation_prob,0.0009162670748469,135046395.04908213,100
mutation_prob,0.0031487329679031,101210925.08805308,100
max_attempts,24.0,3563222.039914682,100
max_attempts,12.0,4936716803.149343,100
max_attempts,15.0,387749451.6459349,100
max_attempts,20.0,84780939565844.08,100
max_attempts,23.0,25010639.427218817,100
max_attempts,27.0,7250250569223.823,100
max_attempts,30.0,7602636908149.629,100
max_attempts,34.0,20572584.055093605,100
max_attempts,38.0,68919.00293594332,100
max_attempts,41.0,222899196688.2491,100
max_attempts,44.0,192446.75206303748,100
max_attempts,48.0,70738.33657031332,100
pop_size,1299.0,166048.27712781462,100
pop_size,650.0,9222418069.43172,100
pop_size,845.0,246765109.98620847,100
pop_size,1039.0,43425.01923824608,100
pop_size,1234.0,198541992.65577415,100
pop_size,1429.0,12473.77123837632,100
pop_size,1624.0,2679840.9383231755,100
pop_size,1818.0,21510.82542495885,100
pop_size,2014.0,341165.5325777689,100
pop_size,2208.0,657411118.0375503,100
pop_size,2403.0,5449.914454157997,100
pop_size,2598.0,2680.340353342434,100
mutation_prob,1.3708764853561925e-08,584549.5490487713,100
mutation_prob,1.879302338102547e-16,20511.646237302404,100
mutation_prob,2.2193416059359925e-15,7829.798566986255,100
mutation_prob,2.620907271797255e-14,5308.972384192813,100
mutation_prob,3.0951318665801817e-13,184190117234.5585,100
mutation_prob,3.655162231264624e-12,35979.745654393104,100
mutation_prob,4.3165239843642246e-11,578443.4412811593,100
mutation_prob,5.097551935785109e-10,18907.909223178744,100
mutation_prob,6.019898379379409e-09,6371774884.485069,100
mutation_prob,7.109133355494376e-08,193654423.3761109,100
mutation_prob,8.395453524485053e-07,252459.3100719405,100
mutation_prob,9.914519303160092e-06,67053.33475895271,100
max_attempts,38.0,620461.4689443213,100
max_attempts,19.0,65778.73469240082,100
max_attempts,25.0,342341519.45816,100
max_attempts,30.0,63807.99007299667,100
max_attempts,36.0,427773.9571614311,100
max_attempts,42.0,65973.15743837277,100
max_attempts,47.0,22767.268512767718,100
max_attempts,53.0,2385250.579782749,100
max_attempts,59.0,7883.627470578807,100
max_attempts,64.0,46748.480240238285,100
max_attempts,70.0,7053.677610372786,100
max_attempts,76.0,172223563.06778693,100
pop_size,2598.0,8913.405495312736,100
pop_size,1299.0,97920950590445.42,100
pop_size,1689.0,6476759.240232444,100
pop_size,2078.0,3167632.4083241713,100
pop_size,2468.0,490029.9688297034,100
pop_size,2858.0,9158.975565036726,100
pop_size,3247.0,17915.36386409755,100
pop_size,3637.0,585861.3792735562,100
pop_size,4027.0,64453.60987780231,100
pop_size,4417.0,4380.376594300197,100
pop_size,4806.0,5736.7044285925795,100
pop_size,5196.0,5285.559777988745,100
