time,attempt,steps,value,string
145.1981222629547,1,280,95.0,1111011111111111111111111101111111111111111111101111111111101111111111111111111111011111111111111111
149.00100231170654,2,215,95.0,1111011111111101111111111011111111111111111111111111111101111111111111111111111111110111111111111111
187.713527917862,3,248,97.0,1111111111111111110111111111111111111111111111011111111101111111111111111111111111111111111111111111
163.32472562789917,4,240,97.0,1111101111111111111111111111111111111111111111111101111111111111111111111111101111111111111111111111
178.27839255332947,5,223,95.0,1110111111111111111111111111111111111101111111111111101111111111111111110101111111111111111111111111
161.35462498664856,6,239,95.0,111111111111111111111110111111111111111110111111111111111111111111111111111111110111111110111111111
167.1975154876709,7,214,95.0,1111111111111111111111101111101111111110111111111110111111111111101111111111111111111111111111111111
223.9731171131134,8,245,99.0,1111111111111111111111111111111111111111111111111111111111111111111111101111111111111111111111111111
226.7267973423004,9,248,97.0,1111011111011111111111111111111111111111111111111111111111111111111111111111111111111111111111110111
155.98009204864502,10,212,95.0,1111111111111111111111111111111111111011111111111111111101111101101111111111011111111111111111111111
189.77478766441345,11,259,97.0,1111111111111111111111110111111111111110111111111111111111111111111111111111111111111110111111111111
202.5015153884888,12,269,99.0,1111111111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111
180.4158134460449,13,253,95.0,1111111111011111111111111111110111111111111111111111111111111101111111110111111101111111111111111111
164.188725233078,14,226,97.0,1111111101111111111111111111111111111110111111111111111111111111111111111011111111111111111111111111
163.00706505775452,15,228,97.0,1111111101111111111111111111111111111111111111111111111111111111111101111111111110111111111111111111
209.6262626647949,16,240,95.0,1111111101111111110111111111111111111111111111111111011111111101111111111111111111111111101111111111
227.7520337104797,17,230,97.0,1111111111111110111111111111111111111111111111111111111111011111111111111111111111111011111111111111
208.0471305847168,18,236,95.0,1111010111111111111111111101111101111111111111111111111111111111110111111111111111111111111111111111
194.2318449020385,19,220,95.0,1111111111111111111110111111111111111111111111011111111111111111110011111111111111111111111111011111
211.67453336715693,20,241,97.0,1111111111111111111111111111111111101111111011111111111111111111111111111111111111111111111101111111
187.24155282974243,21,219,93.0,1111011111111111111111111111011111111111110111101111101111111111111111111111110111111111111111111101
143.45634984970093,22,185,95.0,1111111111111111111101111111111111111111111111111111111111111111011111111011111111111011111111011111
167.7152271270752,23,198,95.0,1011111111111111111111111111111111111110111111111111110111111111111111011111111111111111111101111111
195.21606492996216,24,227,95.0,1111111111011111111111111110111111101111111111111111111111111111111111111111101111111101111111111111
180.3554916381836,25,221,97.0,1111111111111111111111111111111111111110111111111111111111101111111111111011111111111111111111111111
202.9984188079834,26,248,97.0,1111111011111111111111111111111111101111111011111111111111111111111111111111111111111111111111111111
238.98931670188904,27,276,99.0,111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
221.59971976280207,28,258,97.0,1111101111111111111111111111111111111111111111111111111101111111111111111111011111111111111111111111
163.5520417690277,29,219,95.0,1111011111111111111111111111111111111110111111111111011111111101111111111111111111111111111111111011
182.3457078933716,30,221,95.0,1111111111101111111111111111111111110111111111111001111111111111111111111111111111111111110111111111
171.2082133293152,31,226,95.0,1111111111111111111111111101111011111111111111110111111111111111111111111110111111110111111111111111
212.43107104301453,32,265,95.0,1111111111101111111111111111111111101111111110111111111111111111111111111111111110111111111111110111
114.45894646644592,33,222,95.0,1111111111111111111111111111111111111011111111111111111011111111111111111011110111111111111111111011
122.8583528995514,34,232,95.0,1111111111101111111111111110111111111111111111111101111110110111111111111111111111111111111111111111
105.92970681190492,35,203,97.0,1111111111111111111111111111111111111111111111101111111111110111111111111111111111111111111111111011
144.49108147621155,36,264,97.0,1111111111111111111111111111101111111111011111111111111111111111111111111111111110111111111111111111
134.11182975769043,37,222,95.0,1111110111111111111101111111111111111101111111111110111111111111111111011111111111111111111111111111
134.66266465187073,38,236,95.0,1111111111111111111111111111101111111110011111111111111101111111111111111111111111111111111111111101
114.3286464214325,39,226,97.0,1111111111111011111111111111111111111111111111110111111101111111111111111111111111111111111111111111
121.7250678539276,40,204,95.0,1111111111111111111111111110111111111111111111111111111111111110110111111111111111111110111111111011
122.3595004081726,41,212,93.0,1111101111111111111111111111101111111111111111111110111111111111011111110111111111111011111111111011
153.94981217384338,42,259,97.0,1111111111111110111111111111111111111111110111111111111111111111111111111111011111111111111111111111
118.4685924053192,43,225,95.0,1111111111111011111111111111010111111111111111111111111111111011111111111111111111111111101111111111
133.17275047302246,44,248,97.0,1111011111111111111111111111111111111111110111111111111111111111111111111111110111111111111111111111
156.65351819992063,45,262,95.0,1111111111111111111111111110111111011111111111011111111111101111111111111111111111111111111111111011
137.30937385559082,46,238,97.0,1111111111111111110111111111111111110111111111111111111111111111111111111111111111110111111111111111
121.89819049835204,47,234,97.0,111111111111111111111111111111111111101111111111111111111111111111111111011111111111111111111111111
148.76510310173035,48,251,93.0,1111011111111110111111110111110111110111111110111111111111111111111110111111111111111111111111111111
129.8575940132141,49,210,95.0,1011111111111111011111111111111111111111111111101111111111111011111110111111111111111111111111111111
178.74506878852844,50,295,95.0,1111111111111111111101111111111111111111101111110111111111111111111111111111011111111011111111111111
170.2364375591278,51,243,97.0,1111111111111110111111111111111111111111111111111011111111111111111111101111111111111111111111111111
145.75497031211853,52,267,97.0,1111111111111111111111111110111111111111111111111111111111111111111111111111111110111111111110111111
150.87030792236328,53,260,99.0,1111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
111.86498093605042,54,216,93.0,1111111111111111111101111111111111101111111111101111111011111111101111111111111111011111111111011111
119.06174898147584,55,200,95.0,1111111111111111111111111011111111011111111111111111111111111111111111011111111011111111111111011111
105.3763325214386,56,218,93.0,1111111111111011111111111111111111111111111111111111111111111111111101110110111111011111111101011111
125.55397486686708,57,209,95.0,1111111111111011111111111111111111111111101111111111111111111111110111111111111111110111111110111111
140.13168358802795,58,268,95.0,1101111111111111111111111111111111011111111111111111111111111111111111101111111110111111111111101111
172.33485984802246,59,290,99.0,1111111111111111111111111111111111111111111111011111111111111111111111111111111111111111111111111111
119.80767512321472,60,227,95.0,1111111111101111111111111111111111111111111101111110111111111111111111111111101111111111111111101111
138.57646918296814,61,223,95.0,1111011111111111101111111111111111111111101111111111111111111111011111111111111111111111110111111111
112.13333559036256,62,211,93.0,111111111111111110110111111011111111111111111101111111101111111111111111111111111111110111111111111
107.88167142868042,63,211,97.0,1111111111111111111111111111111101111111111111111111111111111111111101111111111111101111111111111111
154.3481388092041,64,280,99.0,1111111111111111111111111111111111111110111111111111111111111111111111111111111111111111111111111111
146.97060465812683,65,255,97.0,1111111111111111111111111111111111111111111111111111111111110111111111111101111111111111111111110111
129.4923450946808,66,231,97.0,1111111111111111111111111111111111111111111111110111111111111111110111111111111111111111111110111111
119.9765601158142,67,239,95.0,1111111111111111111011111111111111111111111110111011111111111111111111111111011111111111111111111101
134.57594799995422,68,231,97.0,1111111111111111111111111111111111111111111111111111111111111111111110111111111110111111111111111011
124.07070899009705,69,234,95.0,1111111111111111011111101111111111111111111111111111111111111101101111111101111111111111111111111111
127.4018931388855,70,224,95.0,1111101111111111111111111101111111111111111011111111111111111111011111111111111110111111111111111111
111.89831614494324,71,220,97.0,1110111111111111111111111110111111111111111111111111111101111111111111111111111111111111111111111111
108.67414617538452,72,213,93.0,1111111111111111110111111111011111111101111110111111111111111111111101111111011111111111111011111111
151.726318359375,73,282,97.0,1111101111111111111111110111111111111111111111110111111111111111111111111111111111111111111111111111
111.58486008644104,74,207,95.0,1111111111101111111111111111111110111111111011111111111111111111011111111111111111111110111111111111
134.44629073143005,75,237,97.0,1111111111111111111111111111011111111101111111111111111111111111111011111111111111111111111111111111
126.54571175575256,76,221,97.0,1111111111111111111111111111111111111111111111111111111111111101111111111111111111100111111111111111
173.99132251739502,77,251,97.0,1111111111111111111111111111111101111111111111110111111111111111111111111111111111111111111111101111
152.79280829429626,78,240,97.0,1111111111011111111111111111111111101111111111111111111111111111111111111111111111101111111111111111
128.31643533706665,79,224,97.0,1111111111111111111111111111111111111111111111111111111111011111111111111011111110111111111111111111
110.74516868591309,80,223,97.0,1111111111111111111111111111111111111111111111111111111111011111111111111111111011111111111110111111
109.9015176296234,81,215,93.0,1111101111111111111111111111101111111110111111111111111111011111110111111111111011111111111111111011
135.4521288871765,82,244,95.0,1111111111111111111011111011111111111111111111111111111111101111111111111111111101111111111110111111
136.25373339653015,83,236,97.0,1111111011111111111111111111011111111111111101111111111111111111111111111111111111111111111111111111
131.41789865493774,84,233,97.0,1111111111111111111111111101111111111111111111111111111011111110111111111111111111111111111111111111
114.81517243385316,85,238,97.0,1011111111111111111111110111111111111111111111111111111111111111111111011111111111111111111111111111
128.42071199417114,86,248,97.0,1111111111110111111111111111111111111111111111111111111111111111111111111111111101111111111111110111
127.43228459358215,87,233,95.0,1110111111111101111111111111111111111111111111111111111011111111111111111110111111111011111111111111
127.95364165306091,88,219,97.0,1111111111111111111111111111110111111111111111111111111111111111110111111111111111111110111111111111
125.20936679840088,89,247,95.0,1111111111111111111111111111111110111111111111111111111111111101111111111111110111111111111110101111
118.25619506835938,90,224,95.0,1111111110111111111111111111111111011111111111111110111111111011111111111111111111111111111101111111
129.6909565925598,91,256,97.0,1101111111111111111111111111111111111111111111111111111111011111111111111111111111111111101111111111
118.96296691894533,92,213,95.0,1111111111111111111111110111111111111101111111111110111111111111111111111011111111111111111101111111
135.2130365371704,93,239,97.0,1111111111111111111101111111111111111111111111111111111110111111111111111111111111111111110111111111
127.3562195301056,94,235,95.0,1111111111111111111111101111101111111111111111111101111111111111101111111111111111111101111111111111
123.81326413154602,95,240,97.0,1111111111111011111111111111111011111111111111111111111111111111110111111111111111111111111111111111
118.74690628051758,96,226,95.0,1111111111111111011111111111111111111111110111111111011111111111111111111111111110111110111111111111
143.91057872772217,97,245,95.0,1101111111111111111111111111111111111111111111111111111111101111101110111111111111111111111110111111
120.9931321144104,98,227,95.0,1011111111111111111111111110111111111101111111111111111101111111111111111111111101111111111111111111
123.8216996192932,99,228,97.0,1111111111111111111111111110111111111111111111111111111111111111111111111011111111111111111111011111
105.5700867176056,100,225,95.0,1111111111111110111111111111111011111111111111111111111111111111111111101111111111110111111111011111
121.90978288650513,101,230,99.0,1111110111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
118.55935287475586,102,203,95.0,1111111111111111111111111111111011111111111111111111111111111111111111101011111111011111111111111101
152.19283485412598,103,275,97.0,1111111111111111111111111111111111111111111101111111111111111111111111111011111111111111111011111111
125.62861323356628,104,232,97.0,1101111111111111111111111111111111111111111111111111111111111111011111111111111111111111111111101111
147.1766278743744,105,228,97.0,1111111111111111111111111111111111111111111111111101111111111111110111111111111111111111101111111111
144.57544708251953,106,225,97.0,1111111111111111111101111111111111111111110111111111111111111111111111111111111111111110111111111111
113.80400204658508,107,220,95.0,1111011111111111111111111111111111011111111111111101111111111111111111111111111101111111111111011111
146.6000452041626,108,261,97.0,1111111111111111111111111110111111110111111111111111111111111111111111111111111111111111111111110111
115.43020701408386,109,235,97.0,1111111111111111111111111111111111111111111111111111111111111111101111111011111111111111111101111111
124.45428156852722,110,224,95.0,1111111111110111101111111111111110111110111111111111111111111111111111111111111111111111111111111011
170.65759801864624,111,300,97.0,1111111101111111101111111111111111111111111111111111111111111111111111111111111111111111101111111111
140.0676715373993,112,258,95.0,1101111110111111111111110111111111111111111111111111111111111111111111111111011111111111111101111111
114.24041175842284,113,240,95.0,1111111111101111111111110111111111111111111111111111111111101111111111101111111111111111111111011111
114.861350774765,114,216,95.0,1101111111111111111111111111101111111111101111111111111111111111111111111101110111111111111111111111
148.2116458415985,115,250,95.0,111111111111111111111111111111110111111111111111111011111111111111111111111111011101111111111111111
119.72575092315674,116,221,97.0,1111011111101111111111111111111111111111011111111111111111111111111111111111111111111111111111111111
158.73930048942566,117,252,97.0,1111111111111111011111111111111111111111111111111111111111111111111111111111111011111111111111110111
105.45279383659364,118,221,95.0,1111111111111111101111110111111111111111111111111111111111111111111011111111011111111011111111111111
125.4750771522522,119,222,97.0,1111111111111111111111011111111111101111111011111111111111111111111111111111111111111111111111111111
128.91503739356995,120,230,97.0,1111111111110111111111111111011111111111111111111111111111111111111111111111111111111111111111101111
140.7053141593933,121,262,97.0,1111111111111111111111111111111111111101111111111111111111111111111111111111110111111111111111110111
114.23086643218994,122,225,93.0,1011111111011111111111111111111111111111100111110111111011111111111110111111111111111111111111111111
164.8023326396942,123,307,97.0,1111111111111111111111111111111111111111111011111111111111111111111111111101111111111110111111111111
133.02993178367615,124,226,95.0,1111011111111111111111111111101111111111111111111111111011111111111111101111101111111111111111111111
122.93997836112976,125,230,95.0,1111111011111111111111111111011111111101111111111101111111101111111111111111111111111111111111111111
123.56258487701416,126,234,97.0,1111111111111111111111011111111111011111111111111111111111111111111111111111111111101111111111111111
115.0527184009552,127,238,95.0,1111111111111111111111111111111110111111111110111111111111111111011111111011111111111101111111111111
130.0223786830902,128,228,95.0,1111111110111110111111111111111111111111111111111111111110111111111110111111111111111111110111111111
120.47853493690492,129,228,95.0,1111101111111111111111111111111011111111111011111111111111111111111111101111111111111111110111111111
